-,Achham,Baitadi,Banke,Bara,Bardiya,Bhaktapur,Chitwan,Dadeldhura,Dang,Darchula,Dhading,Dhanusa,Dolakha,Doti,Gorkha,Ilam,Jajarkot,Jhapa,Jhapa,Kailali,kanchanpur,Kanchanpur,kaski,Kaski,Kathmandu,kavre,Kavre,KTWLR,Lalitpur,Mahottari,Makwanpur,Morang,Musatang,Nawalparasi,Nuwakot,Palpa,Panchthar,Parsa,Pyuthan,Rasuwa,Rautahat,RNP,Salyan,Sankhuwasabha,Sindhupalchok,Siraha,Solukhumbu,Sunsari,Surkhet,Syanjha,Tanahun,Udayapur
Achham,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
Banke,0,0,119,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Dhanusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajarkot,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Jhapa,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0
Jhapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaski,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaski,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kavre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KTWLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahottari,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morang,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Musatang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panchthar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasuwa,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Rautahat,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarlahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syanjha,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udayapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadeldhura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanchanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyuthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindhupalchok,0,0,12,0,0,33,0,0,10,14,0,0,0,0,0,0,0,18,0,0,0,0,0,0,131,0,0,0,16,0,12,0,0,0,11,0,0,0,0,0,0,0,0,29,39,0,0,0,0,0,0,0
Siraha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solukhumbu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Sunsari,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parsa,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitwan,0,0,33,0,22,21,123,0,11,12,18,0,0,0,0,0,0,0,0,34,0,0,10,10,174,0,16,0,47,10,27,11,0,0,0,0,0,24,0,0,10,0,0,0,0,0,0,0,12,10,0,0
Dolakha,0,0,0,0,0,15,0,0,11,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,65,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Gorkha,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sankhuwasabha,72,0,0,16,0,16,0,0,0,16,0,0,0,0,0,0,16,12,0,0,0,14,0,0,142,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,89,29,0,0,0,16,0,0,0
Tanahun,0,0,0,0,0,10,0,0,12,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,60,0,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Dhading,0,0,0,0,0,21,18,0,20,24,21,0,0,0,0,0,0,0,0,32,0,0,0,0,124,0,32,0,27,0,10,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
Nawalparasi,0,0,0,0,0,20,0,0,20,24,16,0,0,0,0,0,0,0,0,28,0,0,0,0,100,0,32,0,24,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
Bhaktapur,0,10,0,0,0,65,21,0,30,39,21,0,15,0,0,0,0,20,0,38,0,0,0,0,238,0,40,0,43,0,22,0,0,20,21,0,0,0,0,16,0,0,0,16,33,0,0,15,30,0,10,0
Lalitpur,0,12,0,0,12,43,47,0,36,39,27,0,13,0,0,0,0,0,0,49,0,0,0,0,204,0,48,0,73,0,24,0,0,24,18,0,0,0,0,0,0,0,0,0,16,0,0,0,36,0,12,0
Nuwakot,0,12,0,14,11,21,0,0,19,26,12,0,0,0,0,0,0,0,0,29,0,17,0,0,132,0,24,0,18,0,17,0,0,12,18,0,0,0,0,0,0,0,0,0,11,0,0,0,24,0,0,0
Baitadi,0,13,0,21,14,10,0,0,16,24,0,0,0,0,0,0,0,0,0,26,0,23,0,0,80,0,16,0,12,0,16,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Bardiya,0,14,0,28,21,0,22,0,13,22,0,0,0,0,0,0,0,0,0,27,0,29,0,0,89,0,0,0,12,0,22,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Dang,0,16,0,14,13,30,11,0,31,40,20,0,11,0,0,0,0,0,0,43,0,19,0,0,152,0,40,0,36,0,20,0,0,20,19,0,0,0,0,0,0,0,0,0,10,0,0,0,36,0,12,0
Kavre,0,16,0,0,0,40,16,0,40,48,32,0,16,0,0,0,0,0,0,56,0,0,0,0,200,0,65,0,48,0,16,0,0,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,16,0
Makwanpur,0,16,0,28,22,22,27,0,20,30,10,0,0,0,0,0,0,0,0,34,0,30,0,0,152,0,16,0,24,0,32,0,0,0,17,0,0,0,0,0,0,0,0,12,12,0,0,0,24,0,0,0
Bara,0,21,0,51,28,0,0,0,14,28,0,0,0,0,0,0,0,0,0,28,0,50,0,0,73,0,0,0,0,0,28,0,0,0,14,0,0,0,0,0,0,0,0,16,0,0,0,0,22,0,0,0
Surkhet,0,21,0,22,18,30,12,0,36,48,24,0,12,0,0,0,0,0,0,54,0,27,0,0,195,0,48,0,36,0,24,0,0,24,24,0,0,0,0,0,0,0,0,16,0,0,0,0,47,0,15,0
Kanchanpur,0,23,0,50,29,0,0,0,19,34,0,0,0,0,0,0,0,0,0,35,0,52,0,0,95,0,0,0,0,0,30,0,0,0,17,0,0,0,0,0,0,0,0,14,0,0,0,0,27,0,0,0
Darchula,0,24,0,28,22,39,12,0,40,57,24,0,14,0,10,0,0,0,0,59,0,34,0,0,201,0,48,0,39,0,30,0,0,24,26,0,0,0,0,0,0,0,0,16,14,0,0,10,48,0,16,0
Kailali,0,26,0,28,27,38,34,0,0,59,32,0,14,0,13,0,0,0,0,71,0,35,0,0,246,0,56,0,49,0,34,0,0,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,18,0
Kathmandu,108,80,0,73,89,238,174,25,152,201,124,12,65,25,47,10,34,59,0,246,25,95,12,12,1485,0,200,0,204,12,152,40,0,100,132,0,0,35,25,68,12,12,10,142,131,25,34,35,195,12,60,12
